num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
148,0.125,0.046612,38246,148,296
148,0.25,0.100441,73420,148,296
148,0.5,0.205038,143703,148,296
148,0.75,0.294614,210646,148,296
149,0.125,0.051025,40628,149,298
149,0.25,0.107251,76727,149,298
149,0.5,0.199793,145938,149,298
149,0.75,0.313229,215531,149,298
150,0.125,0.054058,41595,150,300
150,0.25,0.109072,76082,150,300
150,0.5,0.201449,142393,150,300
150,0.75,0.255086,213423,150,300
151,0.125,0.05558,39107,151,302
151,0.25,0.105055,76960,151,302
151,0.5,0.18282,147959,151,302
151,0.75,0.262886,219819,151,302
152,0.125,0.054251,39832,152,304
152,0.25,0.099081,76748,152,304
152,0.5,0.194744,150245,152,304
152,0.75,0.272956,223098,152,304
153,0.125,0.0569,40692,153,306
153,0.25,0.108422,80261,153,306
153,0.5,0.224386,149875,153,306
153,0.75,0.289322,224037,153,306
154,0.125,0.053447,43561,154,308
154,0.25,0.102744,79186,154,308
154,0.5,0.195954,155522,154,308
154,0.75,0.329812,226204,154,308
155,0.125,0.061335,44027,155,310
155,0.25,0.111995,80263,155,310
155,0.5,0.217408,158164,155,310
155,0.75,0.323184,231153,155,310
156,0.125,0.062979,42976,156,312
156,0.25,0.123056,82408,156,312
156,0.5,0.233628,155592,156,312
156,0.75,0.289765,233855,156,312
157,0.125,0.063975,43308,157,314
157,0.25,0.114343,82651,157,314
157,0.5,0.313378,159520,157,314
157,0.75,0.338165,233647,157,314
158,0.125,0.061194,44079,158,316
158,0.25,0.106417,84534,158,316
158,0.5,0.255352,159705,158,316
158,0.75,0.330283,237937,158,316
159,0.125,0.057941,44886,159,318
159,0.25,0.133334,85919,159,318
159,0.5,0.247946,161224,159,318
159,0.75,0.312948,239849,159,318
160,0.125,0.066522,46070,160,320
160,0.25,0.128804,87124,160,320
160,0.5,0.242824,161822,160,320
160,0.75,0.320328,243307,160,320
161,0.125,0.068893,46520,161,322
161,0.25,0.129673,87191,161,322
161,0.5,0.226312,169290,161,322
161,0.75,0.35863,242992,161,322
162,0.125,0.085936,46618,162,324
162,0.25,0.137131,90700,162,324
162,0.5,0.21816,172265,162,324
162,0.75,0.328816,249775,162,324
163,0.125,0.073752,46461,163,326
163,0.25,0.14165,90059,163,326
163,0.5,0.247841,173311,163,326
163,0.75,0.363758,255702,163,326
164,0.125,0.068894,45837,164,328
164,0.25,0.133339,92959,164,328
164,0.5,0.25686,176910,164,328
164,0.75,0.376638,256188,164,328
165,0.125,0.069182,45337,165,330
165,0.25,0.144691,89056,165,330
165,0.5,0.246479,175957,165,330
165,0.75,0.38098,258741,165,330
166,0.125,0.073459,48235,166,332
166,0.25,0.141591,93854,166,332
166,0.5,0.236383,177566,166,332
166,0.75,0.371939,261695,166,332
167,0.125,0.078077,49265,167,334
167,0.25,0.149145,92670,167,334
167,0.5,0.260664,174408,167,334
167,0.75,0.352158,267488,167,334
168,0.125,0.068998,50022,168,336
168,0.25,0.152604,95895,168,336
168,0.5,0.273329,182861,168,336
168,0.75,0.395126,271922,168,336
169,0.125,0.072773,49166,169,338
169,0.25,0.150356,93928,169,338
169,0.5,0.247892,183630,169,338
169,0.75,0.41447,271272,169,338
170,0.125,0.07086,49788,170,340
170,0.25,0.137103,95771,170,340
170,0.5,0.299294,186297,170,340
170,0.75,0.377551,272363,170,340
171,0.125,0.080362,50424,171,342
171,0.25,0.153338,96231,171,342
171,0.5,0.263428,187434,171,342
171,0.75,0.413956,278803,171,342
172,0.125,0.077015,51154,172,344
172,0.25,0.159476,97935,172,344
172,0.5,0.264674,191585,172,344
172,0.75,0.394511,283021,172,344
173,0.125,0.075455,51536,173,346
173,0.25,0.155122,99431,173,346
173,0.5,0.319088,192464,173,346
173,0.75,0.421737,283175,173,346
174,0.125,0.074379,52988,174,348
174,0.25,0.161966,100921,174,348
174,0.5,0.296954,193780,174,348
174,0.75,0.45086,285021,174,348
175,0.125,0.095224,52313,175,350
175,0.25,0.173566,101570,175,350
175,0.5,0.38171,191373,175,350
175,0.75,0.494818,292418,175,350
176,0.125,0.140703,56065,176,352
176,0.25,0.189549,102515,176,352
176,0.5,0.312291,201239,176,352
176,0.75,0.459951,291020,176,352
177,0.125,0.095531,53697,177,354
177,0.25,0.19343,106554,177,354
177,0.5,0.371411,203446,177,354
177,0.75,0.442179,302795,177,354
178,0.125,0.102696,57645,178,356
178,0.25,0.193877,105953,178,356
178,0.5,0.349358,201317,178,356
178,0.75,0.510826,302785,178,356
179,0.125,0.100051,58240,179,358
179,0.25,0.187989,104917,179,358
179,0.5,0.387733,204629,179,358
179,0.75,0.541841,304149,179,358
180,0.125,0.088438,58169,180,360
180,0.25,0.322022,109578,180,360
180,0.5,0.369923,209031,180,360
180,0.75,0.558775,309085,180,360
181,0.125,0.106067,57686,181,362
181,0.25,0.202815,109135,181,362
181,0.5,0.34712,211748,181,362
181,0.75,0.463687,310208,181,362
182,0.125,0.099136,58351,182,364
182,0.25,0.182352,112207,182,364
182,0.5,0.317148,217166,182,364
182,0.75,0.481568,315128,182,364
183,0.125,0.087131,58732,183,366
183,0.25,0.187202,108814,183,366
183,0.5,0.310234,217617,183,366
183,0.75,0.462052,318384,183,366
184,0.125,0.086197,56389,184,368
184,0.25,0.186922,111289,184,368
184,0.5,0.345395,216115,184,368
184,0.75,0.503669,321282,184,368
185,0.125,0.117422,60152,185,370
185,0.25,0.184694,110744,185,370
185,0.5,0.377213,221236,185,370
185,0.75,0.541367,324399,185,370
186,0.125,0.114926,60173,186,372
186,0.25,0.204912,114833,186,372
186,0.5,0.334045,223775,186,372
186,0.75,0.499856,329805,186,372
187,0.125,0.088703,60209,187,374
187,0.25,0.195633,116622,187,374
187,0.5,0.338768,225668,187,374
187,0.75,0.548913,334122,187,374
188,0.125,0.103432,59782,188,376
188,0.25,0.209566,116645,188,376
188,0.5,0.40008,225710,188,376
188,0.75,0.554587,339590,188,376
189,0.125,0.097757,62419,189,378
189,0.25,0.20864,118210,189,378
189,0.5,0.411096,229517,189,378
189,0.75,0.510895,342380,189,378
190,0.125,0.092642,62707,190,380
190,0.25,0.20802,121831,190,380
190,0.5,0.36306,229728,190,380
190,0.75,0.545892,342872,190,380
191,0.125,0.112652,66169,191,382
191,0.25,0.209141,120290,191,382
191,0.5,0.432834,237660,191,382
191,0.75,0.544426,345474,191,382
192,0.125,0.105299,65109,192,384
192,0.25,0.184997,122488,192,384
192,0.5,0.42223,236308,192,384
192,0.75,0.536896,351634,192,384
193,0.125,0.110198,66075,193,386
193,0.25,0.226273,125916,193,386
193,0.5,0.404548,241100,193,386
193,0.75,0.551233,356906,193,386
194,0.125,0.112147,65441,194,388
194,0.25,0.212503,128222,194,388
194,0.5,0.426571,242617,194,388
194,0.75,0.54431,357233,194,388
195,0.125,0.103748,63963,195,390
