num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
119,0.25,0.060138,50207,119,238
119,0.5,0.121236,93170,119,238
119,0.75,0.202356,138071,119,238
120,0.125,0.029715,25892,120,240
120,0.25,0.053119,50549,120,240
120,0.5,0.100599,94540,120,240
120,0.75,0.209254,139324,120,240
121,0.125,0.039168,28102,121,242
121,0.25,0.058042,50777,121,242
121,0.5,0.102134,96989,121,242
121,0.75,0.152749,141790,121,242
122,0.125,0.032188,27893,122,244
122,0.25,0.062683,51001,122,244
122,0.5,0.108191,97193,122,244
122,0.75,0.162078,147099,122,244
123,0.125,0.065716,28128,123,246
123,0.25,0.082674,55241,123,246
123,0.5,0.132872,102365,123,246
123,0.75,0.191076,146817,123,246
124,0.125,0.033445,28247,124,248
124,0.25,0.08289,56441,124,248
124,0.5,0.128915,101303,124,248
124,0.75,0.174307,148035,124,248
125,0.125,0.040279,27829,125,250
125,0.25,0.071405,53432,125,250
125,0.5,0.14073,101417,125,250
125,0.75,0.172563,145863,125,250
126,0.125,0.033498,28982,126,252
126,0.25,0.091672,55607,126,252
126,0.5,0.122696,103545,126,252
126,0.75,0.185519,150811,126,252
127,0.125,0.041786,29543,127,254
127,0.25,0.07376,55651,127,254
127,0.5,0.133401,106144,127,254
127,0.75,0.189928,153794,127,254
128,0.125,0.075024,29567,128,256
128,0.25,0.081618,57602,128,256
128,0.5,0.137153,106996,128,256
128,0.75,0.203528,157459,128,256
129,0.125,0.053217,29158,129,258
129,0.25,0.087317,57425,129,258
129,0.5,0.126132,110459,129,258
129,0.75,0.214458,161971,129,258
130,0.125,0.041212,30796,130,260
130,0.25,0.078755,57643,130,260
130,0.5,0.133287,109163,130,260
130,0.75,0.217514,161217,130,260
131,0.125,0.039242,31119,131,262
131,0.25,0.078043,58292,131,262
131,0.5,0.13486,114074,131,262
131,0.75,0.330871,162518,131,262
132,0.125,0.072796,34286,132,264
132,0.25,0.132563,61207,132,264
132,0.5,0.178072,112646,132,264
132,0.75,0.234884,168133,132,264
133,0.125,0.045404,32900,133,266
133,0.25,0.124514,61854,133,266
133,0.5,0.168396,113459,133,266
133,0.75,0.215031,169505,133,266
134,0.125,0.063943,31818,134,268
134,0.25,0.079301,60827,134,268
134,0.5,0.145045,115848,134,268
134,0.75,0.214561,172225,134,268
135,0.125,0.047686,33334,135,270
135,0.25,0.078665,60928,135,270
135,0.5,0.166212,117067,135,270
135,0.75,0.227429,178128,135,270
136,0.125,0.045446,32321,136,272
136,0.25,0.07526,64365,136,272
136,0.5,0.138765,115836,136,272
136,0.75,0.24564,177359,136,272
137,0.125,0.048342,33568,137,274
137,0.25,0.100562,63219,137,274
137,0.5,0.150835,119938,137,274
137,0.75,0.217763,180756,137,274
138,0.125,0.045449,34705,138,276
138,0.25,0.106031,63969,138,276
138,0.5,0.147805,124209,138,276
138,0.75,0.241496,179744,138,276
139,0.125,0.043507,36092,139,278
139,0.25,0.088865,65819,139,278
139,0.5,0.16762,127239,139,278
139,0.75,0.255142,189692,139,278
140,0.125,0.049367,35444,140,280
140,0.25,0.08218,64186,140,280
140,0.5,0.157097,125434,140,280
140,0.75,0.250476,187712,140,280
141,0.125,0.043875,35004,141,282
141,0.25,0.091664,67564,141,282
